,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
114,115,3,1,3.0,0,0,1.0,C,0
115,116,3,1,4.0,0,0,0.0,S,0
116,117,3,1,14.0,0,0,0.0,Q,0
117,118,2,1,5.0,1,0,2.0,S,0
118,119,1,1,4.0,0,1,24.0,C,0
119,120,3,1,0.0,4,2,3.0,S,0
120,121,2,1,4.0,2,0,7.0,S,0
121,122,3,1,,0,0,0.0,S,0
122,123,2,1,6.0,1,0,3.0,C,0
123,124,2,1,6.0,0,0,1.0,S,1
124,125,1,1,10.0,0,1,7.0,S,0
125,126,3,1,2.0,1,0,1.0,C,1
126,127,3,1,,0,0,0.0,Q,0
127,128,3,1,4.0,0,0,0.0,S,1
128,129,3,1,,1,1,2.0,C,1
129,130,3,1,9.0,0,0,0.0,S,0
130,131,3,1,6.0,0,0,0.0,C,0
131,132,3,1,4.0,0,0,0.0,S,0
132,133,3,1,9.0,1,0,1.0,S,0
133,134,2,1,5.0,1,0,2.0,S,1
134,135,2,1,5.0,0,0,1.0,S,0
135,136,2,1,4.0,0,0,1.0,C,0
136,137,1,1,3.0,0,2,2.0,S,1
137,138,1,1,7.0,1,0,5.0,S,0
138,139,3,1,3.0,0,0,0.0,S,0
139,140,1,1,4.0,0,0,7.0,C,0
140,141,3,1,,0,2,1.0,C,0
141,142,3,1,4.0,0,0,0.0,S,1
142,143,3,1,4.0,1,0,1.0,S,1
143,144,3,1,3.0,0,0,0.0,Q,0
144,145,2,1,3.0,0,0,1.0,S,0
145,146,2,1,3.0,1,1,3.0,S,0
146,147,3,1,5.0,0,0,0.0,S,1
147,148,3,1,1.0,2,2,3.0,S,0
148,149,2,1,7.0,0,2,2.0,S,0
149,150,2,1,8.0,0,0,1.0,S,0
150,151,2,1,10.0,0,0,1.0,S,0
151,152,1,1,4.0,1,0,6.0,S,1
152,153,3,1,11.0,0,0,0.0,S,0
153,154,3,1,8.0,0,2,1.0,S,0
154,155,3,1,,0,0,0.0,S,0
155,156,1,1,10.0,0,1,6.0,C,0
156,157,3,1,3.0,0,0,0.0,Q,1
157,158,3,1,6.0,0,0,0.0,S,0
158,159,3,1,,0,0,0.0,S,0
159,160,3,1,,8,2,6.0,S,0
160,161,3,1,8.0,0,1,1.0,S,0
161,162,2,1,8.0,0,0,1.0,S,1
162,163,3,1,5.0,0,0,0.0,S,0
163,164,3,1,3.0,0,0,0.0,S,0
164,165,3,1,0.0,4,1,3.0,S,0
165,166,3,1,1.0,0,2,2.0,S,1
166,167,1,1,,0,1,5.0,S,1
167,168,3,1,9.0,1,4,2.0,S,0
168,169,1,1,,0,0,2.0,S,0
169,170,3,1,5.0,0,0,5.0,S,0
170,171,1,1,12.0,0,0,3.0,S,0
171,172,3,1,0.0,4,1,2.0,Q,0
172,173,3,1,0.0,1,1,1.0,S,1
173,174,3,1,4.0,0,0,0.0,S,0
174,175,1,1,11.0,0,0,3.0,C,0
175,176,3,1,3.0,1,1,0.0,S,0
176,177,3,1,,3,1,2.0,S,0
177,178,1,1,10.0,0,0,2.0,C,0
178,179,2,1,6.0,0,0,1.0,S,0
179,180,3,1,7.0,0,0,0.0,S,0
180,181,3,1,,8,2,6.0,S,0
181,182,2,1,,0,0,1.0,C,0
182,183,3,1,1.0,4,2,3.0,S,0
183,184,2,1,0.0,2,1,3.0,S,1
184,185,3,1,0.0,0,2,2.0,S,1
185,186,1,1,,0,0,5.0,S,0
186,187,3,1,,1,0,1.0,Q,1
187,188,1,1,9.0,0,0,2.0,S,1
188,189,3,1,8.0,1,1,1.0,Q,0
189,190,3,1,7.0,0,0,0.0,S,0
190,191,2,1,6.0,0,0,1.0,S,1
191,192,2,1,3.0,0,0,1.0,S,0
192,193,3,1,3.0,1,0,0.0,S,1
193,194,2,1,0.0,1,1,2.0,S,1
194,195,1,1,8.0,0,0,2.0,C,1
195,196,1,1,11.0,0,0,14.0,C,1
196,197,3,1,,0,0,0.0,Q,0
197,198,3,1,8.0,0,1,0.0,S,0
198,199,3,1,,0,0,0.0,Q,1
199,200,2,1,4.0,0,0,1.0,S,0
200,201,3,1,5.0,0,0,0.0,S,0
201,202,3,1,,8,2,6.0,S,0
202,203,3,1,6.0,0,0,0.0,S,0
203,204,3,1,9.0,0,0,0.0,C,0
204,205,3,1,3.0,0,0,0.0,S,1
205,206,3,1,0.0,0,1,1.0,S,0
206,207,3,1,6.0,1,0,1.0,S,0
207,208,3,1,5.0,0,0,1.0,C,1
208,209,3,1,3.0,0,0,0.0,Q,1
209,210,1,1,8.0,0,0,3.0,C,1
210,211,3,1,4.0,0,0,0.0,S,0
211,212,2,1,7.0,0,0,2.0,S,1
212,213,3,1,4.0,0,0,0.0,S,0
213,214,2,1,6.0,0,0,1.0,S,0
214,215,3,1,,1,0,0.0,Q,0
215,216,1,1,6.0,1,0,11.0,C,1
216,217,3,1,5.0,0,0,0.0,S,1
217,218,2,1,8.0,1,0,2.0,S,0
218,219,1,1,6.0,0,0,7.0,C,1
219,220,2,1,6.0,0,0,1.0,S,0
220,221,3,1,3.0,0,0,0.0,S,1
221,222,2,1,5.0,0,0,1.0,S,0
222,223,3,1,10.0,0,0,0.0,S,0
223,224,3,1,,0,0,0.0,S,0
224,225,1,1,7.0,1,0,9.0,S,1
225,226,3,1,4.0,0,0,0.0,S,0
226,227,2,1,3.0,0,0,1.0,S,1
227,228,3,1,4.0,0,0,0.0,S,0
228,229,2,1,3.0,0,0,1.0,S,0
229,230,3,1,,3,1,2.0,S,0
230,231,1,1,7.0,1,0,8.0,S,1
231,232,3,1,5.0,0,0,0.0,S,0
232,233,2,1,11.0,0,0,1.0,S,0
233,234,3,1,1.0,4,2,3.0,S,1
234,235,2,1,4.0,0,0,1.0,S,0
235,236,3,1,,0,0,0.0,S,0
236,237,2,1,8.0,1,0,2.0,S,0
237,238,2,1,1.0,0,2,2.0,S,1
238,239,2,1,3.0,0,0,1.0,S,0
239,240,2,1,6.0,0,0,1.0,S,0
240,241,3,1,,1,0,1.0,C,0
241,242,3,1,,1,0,1.0,Q,1
242,243,2,1,5.0,0,0,1.0,S,0
243,244,3,1,4.0,0,0,0.0,S,0
244,245,3,1,6.0,0,0,0.0,C,0
245,246,1,1,8.0,2,0,9.0,Q,0
246,247,3,1,5.0,0,0,0.0,S,0
247,248,2,1,4.0,0,2,1.0,S,1
248,249,1,1,7.0,1,1,5.0,S,1
249,250,2,1,10.0,1,0,2.0,S,0
250,251,3,1,,0,0,0.0,S,0
251,252,3,1,5.0,1,1,1.0,S,0
252,253,1,1,12.0,0,0,2.0,S,0
253,254,3,1,6.0,1,0,1.0,S,0
254,255,3,1,8.0,0,2,2.0,S,0
255,256,3,1,5.0,0,2,1.0,C,1
256,257,1,1,,0,0,7.0,C,1
257,258,1,1,6.0,0,0,8.0,S,1
258,259,1,1,7.0,0,0,51.0,C,1
259,260,2,1,10.0,0,1,2.0,S,1
260,261,3,1,,0,0,0.0,Q,0
261,262,3,1,0.0,4,2,3.0,S,1
262,263,1,1,10.0,1,1,7.0,S,0
263,264,1,1,8.0,0,0,0.0,S,0
264,265,3,1,,0,0,0.0,Q,0
265,266,2,1,7.0,0,0,1.0,S,0
266,267,3,1,3.0,4,1,3.0,S,0
267,268,3,1,5.0,1,0,0.0,S,1
268,269,1,1,11.0,0,1,15.0,S,1
269,270,1,1,7.0,0,0,13.0,S,1
270,271,1,1,,0,0,3.0,S,0
271,272,3,1,5.0,0,0,0.0,S,1
272,273,2,1,8.0,0,1,1.0,S,1
273,274,1,1,7.0,0,1,2.0,C,0
274,275,3,1,,0,0,0.0,Q,1
275,276,1,1,12.0,1,0,7.0,S,1
276,277,3,1,9.0,0,0,0.0,S,0
277,278,2,1,,0,0,0.0,S,0
278,279,3,1,1.0,4,1,2.0,Q,0
279,280,3,1,7.0,1,1,2.0,S,1
280,281,3,1,13.0,0,0,0.0,Q,0
281,282,3,1,5.0,0,0,0.0,S,0
282,283,3,1,3.0,0,0,0.0,S,0
283,284,3,1,3.0,0,0,0.0,S,1
284,285,1,1,,0,0,2.0,S,0
285,286,3,1,6.0,0,0,0.0,C,0
286,287,3,1,6.0,0,0,0.0,S,1
287,288,3,1,4.0,0,0,0.0,S,0
288,289,2,1,8.0,0,0,1.0,S,1
289,290,3,1,4.0,0,0,0.0,Q,1
290,291,1,1,5.0,0,0,7.0,S,1
291,292,1,1,3.0,1,0,9.0,C,1
292,293,2,1,7.0,0,0,1.0,C,0
293,294,3,1,4.0,0,0,0.0,S,0
294,295,3,1,4.0,0,0,0.0,S,0
295,296,1,1,,0,0,2.0,C,0
296,297,3,1,4.0,0,0,0.0,C,0
297,298,1,1,0.0,1,2,15.0,S,0
298,299,1,1,,0,0,3.0,S,1
299,300,1,1,10.0,0,1,24.0,C,1
300,301,3,1,,0,0,0.0,Q,1
301,302,3,1,,2,0,2.0,Q,1
302,303,3,1,3.0,0,0,0.0,S,0
303,304,2,1,,0,0,1.0,Q,1
304,305,3,1,,0,0,0.0,S,0
305,306,1,1,0.0,1,2,15.0,S,1
306,307,1,1,,0,0,11.0,C,1
307,308,1,1,3.0,1,0,10.0,C,1
308,309,2,1,6.0,1,0,2.0,C,0
309,310,1,1,6.0,0,0,5.0,C,1
310,311,1,1,4.0,0,0,8.0,C,1
311,312,1,1,3.0,2,2,26.0,C,1
312,313,2,1,5.0,1,1,2.0,S,0
313,314,3,1,5.0,0,0,0.0,S,0
314,315,2,1,8.0,1,1,2.0,S,0
315,316,3,1,5.0,0,0,0.0,S,1
316,317,2,1,4.0,1,0,2.0,S,1
317,318,2,1,10.0,0,0,1.0,S,0
318,319,1,1,6.0,0,2,16.0,S,1
319,320,1,1,8.0,1,1,13.0,C,1
320,321,3,1,4.0,0,0,0.0,S,0
321,322,3,1,5.0,0,0,0.0,S,0
322,323,2,1,6.0,0,0,1.0,Q,1
323,324,2,1,4.0,1,1,2.0,S,1
324,325,3,1,,8,2,6.0,S,0
325,326,1,1,7.0,0,0,13.0,C,1
326,327,3,1,12.0,0,0,0.0,S,0
327,328,2,1,7.0,0,0,1.0,S,1
328,329,3,1,6.0,1,1,2.0,S,1
329,330,1,1,3.0,0,1,5.0,C,1
330,331,3,1,,2,0,2.0,Q,1
331,332,1,1,9.0,0,0,2.0,S,0
332,333,1,1,7.0,0,1,15.0,S,0
333,334,3,1,3.0,2,0,1.0,S,0
334,335,1,1,,1,0,13.0,S,1
335,336,3,1,,0,0,0.0,S,0
336,337,1,1,5.0,1,0,6.0,S,0
337,338,1,1,8.0,0,0,13.0,C,1
338,339,3,1,9.0,0,0,0.0,S,1
339,340,1,1,9.0,0,0,3.0,S,0
340,341,2,1,0.0,1,1,2.0,S,1
341,342,1,1,4.0,3,2,26.0,S,1
342,343,2,1,5.0,0,0,1.0,S,0
343,344,2,1,5.0,0,0,1.0,S,0
344,345,2,1,7.0,0,0,1.0,S,0
345,346,2,1,4.0,0,0,1.0,S,1
346,347,2,1,8.0,0,0,1.0,S,1
347,348,3,1,,1,0,1.0,S,1
348,349,3,1,0.0,1,1,1.0,S,1
349,350,3,1,8.0,0,0,0.0,S,0
350,351,3,1,4.0,0,0,0.0,S,0
351,352,1,1,,0,0,3.0,S,0
352,353,3,1,3.0,1,1,0.0,C,0
353,354,3,1,5.0,1,0,1.0,S,0
354,355,3,1,,0,0,0.0,C,0
355,356,3,1,5.0,0,0,0.0,S,0
356,357,1,1,4.0,0,1,5.0,S,1
357,358,2,1,7.0,0,0,1.0,S,0
358,359,3,1,,0,0,0.0,Q,1
359,360,3,1,,0,0,0.0,Q,1
360,361,3,1,8.0,1,4,2.0,S,0
361,362,2,1,5.0,1,0,2.0,C,0
362,363,3,1,9.0,0,1,1.0,C,0
363,364,3,1,7.0,0,0,0.0,S,0
364,365,3,1,,1,0,1.0,Q,0
365,366,3,1,6.0,0,0,0.0,S,0
366,367,1,1,12.0,1,0,7.0,C,1
367,368,3,1,,0,0,0.0,C,1
368,369,3,1,,0,0,0.0,Q,1
369,370,1,1,4.0,0,0,6.0,C,1
370,371,1,1,5.0,1,0,5.0,C,1
371,372,3,1,3.0,1,0,0.0,S,0
372,373,3,1,3.0,0,0,0.0,S,0
373,374,1,1,4.0,0,0,13.0,C,0
374,375,3,1,0.0,3,1,2.0,S,0
375,376,1,1,,1,0,8.0,C,1
376,377,3,1,4.0,0,0,0.0,S,1
377,378,1,1,5.0,0,2,21.0,C,0
378,379,3,1,4.0,0,0,0.0,C,0
379,380,3,1,3.0,0,0,0.0,S,0
380,381,1,1,8.0,0,0,22.0,C,1
381,382,3,1,0.0,0,2,1.0,C,1
382,383,3,1,6.0,0,0,0.0,S,0
383,384,1,1,7.0,1,0,5.0,S,1
384,385,3,1,,0,0,0.0,S,0
385,386,2,1,3.0,0,0,7.0,S,0
386,387,3,1,0.0,5,2,4.0,S,0
387,388,2,1,7.0,0,0,1.0,S,1
388,389,3,1,,0,0,0.0,Q,0
389,390,2,1,3.0,0,0,1.0,C,1
390,391,1,1,7.0,1,2,12.0,S,1
391,392,3,1,4.0,0,0,0.0,S,1
392,393,3,1,5.0,2,0,0.0,S,0
393,394,1,1,4.0,1,0,11.0,C,1
394,395,3,1,4.0,0,2,1.0,S,1
395,396,3,1,4.0,0,0,0.0,S,0
396,397,3,1,6.0,0,0,0.0,S,0
397,398,2,1,9.0,0,0,2.0,S,0
398,399,2,1,4.0,0,0,1.0,S,0
399,400,2,1,5.0,0,0,1.0,S,1
400,401,3,1,7.0,0,0,0.0,S,1
401,402,3,1,5.0,0,0,0.0,S,0
402,403,3,1,4.0,1,0,0.0,S,0
403,404,3,1,5.0,1,0,1.0,S,0
404,405,3,1,4.0,0,0,0.0,S,0
405,406,2,1,6.0,1,0,2.0,S,0
406,407,3,1,10.0,0,0,0.0,S,0
407,408,2,1,0.0,1,1,1.0,S,1
408,409,3,1,4.0,0,0,0.0,S,0
409,410,3,1,,3,1,2.0,S,0
410,411,3,1,,0,0,0.0,S,0
411,412,3,1,,0,0,0.0,Q,0
412,413,1,1,6.0,1,0,9.0,Q,1
413,414,2,1,,0,0,0.0,S,0
414,415,3,1,8.0,0,0,0.0,S,1
415,416,3,1,,0,0,0.0,S,0
416,417,2,1,6.0,1,1,3.0,S,1
417,418,2,1,3.0,0,2,1.0,S,1
418,419,2,1,6.0,0,0,1.0,S,0
419,420,3,1,2.0,0,2,2.0,S,0
420,421,3,1,,0,0,0.0,C,0
421,422,3,1,4.0,0,0,0.0,Q,0
422,423,3,1,5.0,0,0,0.0,S,0
423,424,3,1,5.0,1,1,1.0,S,0
424,425,3,1,3.0,1,1,2.0,S,0
425,426,3,1,,0,0,0.0,S,0
426,427,2,1,5.0,1,0,2.0,S,1
427,428,2,1,3.0,0,0,2.0,S,1
428,429,3,1,,0,0,0.0,Q,0
429,430,3,1,6.0,0,0,0.0,S,1
430,431,1,1,5.0,0,0,2.0,S,1
431,432,3,1,,1,0,1.0,S,1
432,433,2,1,8.0,1,0,2.0,S,1
433,434,3,1,3.0,0,0,0.0,S,0
434,435,1,1,10.0,1,0,5.0,S,0
435,436,1,1,2.0,1,2,12.0,S,1
436,437,3,1,4.0,2,2,3.0,S,0
437,438,2,1,4.0,2,3,1.0,S,1
438,439,1,1,12.0,1,4,26.0,S,0
439,440,2,1,6.0,0,0,1.0,S,0
440,441,2,1,9.0,1,1,2.0,S,1
441,442,3,1,4.0,0,0,0.0,S,0
442,443,3,1,5.0,1,0,0.0,S,0
443,444,2,1,5.0,0,0,1.0,S,1
444,445,3,1,,0,0,0.0,S,1
445,446,1,1,0.0,0,2,8.0,S,1
446,447,2,1,2.0,0,1,1.0,S,1
447,448,1,1,6.0,0,0,2.0,S,1
448,449,3,1,1.0,2,1,1.0,C,1
449,450,1,1,10.0,0,0,3.0,S,1
450,451,2,1,7.0,1,2,2.0,S,0
451,452,3,1,,1,0,1.0,S,0
452,453,1,1,6.0,0,0,2.0,C,0
453,454,1,1,9.0,1,0,8.0,C,1
454,455,3,1,,0,0,0.0,S,0
455,456,3,1,5.0,0,0,0.0,C,1
456,457,1,1,13.0,0,0,2.0,S,0
457,458,1,1,,1,0,5.0,S,1
458,459,2,1,10.0,0,0,1.0,S,1
459,460,3,1,,0,0,0.0,Q,0
460,461,1,1,9.0,0,0,2.0,S,1
461,462,3,1,6.0,0,0,0.0,S,0
462,463,1,1,9.0,0,0,3.0,S,0
463,464,2,1,9.0,0,0,1.0,S,0
464,465,3,1,,0,0,0.0,S,0
465,466,3,1,7.0,0,0,0.0,S,0
466,467,2,1,,0,0,0.0,S,0
467,468,1,1,11.0,0,0,2.0,S,0
468,469,3,1,,0,0,0.0,Q,0
469,470,3,1,0.0,2,1,1.0,C,1
470,471,3,1,,0,0,0.0,S,0
471,472,3,1,7.0,0,0,0.0,S,0
472,473,2,1,6.0,1,2,2.0,S,1
473,474,2,1,4.0,0,0,1.0,C,1
474,475,3,1,4.0,0,0,0.0,S,0
475,476,1,1,,0,0,5.0,S,0
476,477,2,1,6.0,1,0,2.0,S,0
477,478,3,1,5.0,1,0,0.0,S,0
478,479,3,1,4.0,0,0,0.0,S,0
479,480,3,1,0.0,0,1,1.0,S,1
480,481,3,1,1.0,5,2,4.0,S,0
481,482,2,1,,0,0,0.0,S,0
482,483,3,1,10.0,0,0,0.0,S,0
483,484,3,1,12.0,0,0,0.0,S,1
484,485,1,1,5.0,1,0,9.0,C,1
485,486,3,1,,3,1,2.0,S,0
486,487,1,1,7.0,1,0,9.0,S,1
487,488,1,1,11.0,0,0,2.0,C,0
488,489,3,1,6.0,0,0,0.0,S,0
489,490,3,1,1.0,1,1,1.0,S,1
490,491,3,1,,1,0,1.0,S,0
491,492,3,1,4.0,0,0,0.0,S,0
492,493,1,1,11.0,0,0,3.0,S,0
493,494,1,1,14.0,0,0,4.0,C,0
494,495,3,1,4.0,0,0,0.0,S,0
495,496,3,1,,0,0,1.0,C,0
496,497,1,1,10.0,1,0,7.0,C,1
497,498,3,1,,0,0,1.0,S,0
498,499,1,1,5.0,1,2,15.0,S,0
499,500,3,1,4.0,0,0,0.0,S,0
500,501,3,1,3.0,0,0,0.0,S,0
501,502,3,1,4.0,0,0,0.0,Q,0
502,503,3,1,,0,0,0.0,Q,0
503,504,3,1,7.0,0,0,0.0,S,0
504,505,1,1,3.0,0,0,8.0,S,1
505,506,1,1,3.0,1,0,10.0,C,0
506,507,2,1,6.0,0,2,2.0,S,1
507,508,1,1,,0,0,2.0,S,1
508,509,3,1,5.0,0,0,2.0,S,0
509,510,3,1,5.0,0,0,5.0,S,1
510,511,3,1,5.0,0,0,0.0,Q,1
511,512,3,1,,0,0,0.0,S,0
512,513,1,1,7.0,0,0,2.0,S,1
513,514,1,1,10.0,1,0,5.0,C,1
514,515,3,1,4.0,0,0,0.0,S,0
515,516,1,1,9.0,0,0,3.0,S,0
516,517,2,1,6.0,0,0,1.0,S,1
517,518,3,1,,0,0,2.0,Q,0
518,519,2,1,7.0,1,0,2.0,S,1
519,520,3,1,6.0,0,0,0.0,S,0
520,521,1,1,6.0,0,0,9.0,S,1
521,522,3,1,4.0,0,0,0.0,S,0
522,523,3,1,,0,0,0.0,C,0
523,524,1,1,8.0,0,1,5.0,C,1
524,525,3,1,,0,0,0.0,C,0
525,526,3,1,8.0,0,0,0.0,Q,0
526,527,2,1,10.0,0,0,1.0,S,1
527,528,1,1,,0,0,22.0,S,0
528,529,3,1,7.0,0,0,0.0,S,0
529,530,2,1,4.0,2,1,1.0,S,0
530,531,2,1,0.0,1,1,2.0,S,1
531,532,3,1,,0,0,0.0,C,0
532,533,3,1,3.0,1,1,0.0,C,0
533,534,3,1,,0,2,2.0,C,1
534,535,3,1,6.0,0,0,0.0,S,0
535,536,2,1,1.0,0,2,2.0,S,1
536,537,1,1,9.0,0,0,2.0,S,0
537,538,1,1,6.0,0,0,10.0,C,1
538,539,3,1,,0,0,1.0,S,0
539,540,1,1,4.0,0,2,4.0,C,1
540,541,1,1,7.0,0,2,7.0,S,1
541,542,3,1,1.0,4,2,3.0,S,0
542,543,3,1,2.0,4,2,3.0,S,0
543,544,2,1,6.0,1,0,2.0,S,1
544,545,1,1,10.0,1,0,10.0,C,0
545,546,1,1,12.0,0,0,2.0,S,0
546,547,2,1,3.0,1,0,2.0,S,1
547,548,2,1,,0,0,1.0,C,1
548,549,3,1,6.0,1,1,2.0,S,0
549,550,2,1,1.0,1,1,3.0,S,1
550,551,1,1,3.0,0,2,11.0,C,1
551,552,2,1,5.0,0,0,2.0,S,0
552,553,3,1,,0,0,0.0,Q,0
553,554,3,1,4.0,0,0,0.0,C,1
554,555,3,1,4.0,0,0,0.0,S,1
555,556,1,1,12.0,0,0,2.0,S,0
556,557,1,1,9.0,1,0,3.0,C,1
557,558,1,1,,0,0,22.0,C,0
558,559,1,1,7.0,1,1,7.0,S,1
559,560,3,1,7.0,1,0,1.0,S,1
560,561,3,1,,0,0,0.0,Q,0
561,562,3,1,8.0,0,0,0.0,S,0
562,563,2,1,5.0,0,0,1.0,S,0
563,564,3,1,,0,0,0.0,S,0
564,565,3,1,,0,0,0.0,S,0
565,566,3,1,4.0,2,0,2.0,S,0
566,567,3,1,3.0,0,0,0.0,S,0
567,568,3,1,5.0,0,4,2.0,S,0
568,569,3,1,,0,0,0.0,C,0
569,570,3,1,6.0,0,0,0.0,S,1
570,571,2,1,12.0,0,0,1.0,S,1
571,572,1,1,10.0,2,0,5.0,S,1
572,573,1,1,7.0,0,0,2.0,S,1
573,574,3,1,,0,0,0.0,Q,1
574,575,3,1,3.0,0,0,0.0,S,0
575,576,3,1,3.0,0,0,1.0,S,0
576,577,2,1,6.0,0,0,1.0,S,1
577,578,1,1,7.0,1,0,5.0,S,1
578,579,3,1,,1,0,1.0,C,0
579,580,3,1,6.0,0,0,0.0,S,1
580,581,2,1,5.0,1,1,3.0,S,1
581,582,1,1,7.0,1,1,11.0,C,1
582,583,2,1,10.0,0,0,2.0,S,0
583,584,1,1,7.0,0,0,4.0,C,0
584,585,3,1,,0,0,0.0,C,0
585,586,1,1,3.0,0,2,7.0,S,1
586,587,2,1,9.0,0,0,1.0,S,0
587,588,1,1,12.0,1,1,7.0,C,1
588,589,3,1,4.0,0,0,0.0,S,0
589,590,3,1,,0,0,0.0,S,0
590,591,3,1,7.0,0,0,0.0,S,0
591,592,1,1,10.0,1,0,7.0,C,1
592,593,3,1,9.0,0,0,0.0,S,0
